"timestamp","skill_excel","skill_r","skill_stat","int214_level","int214_att","std_ready","music_genres","salary","sec","gender","birthday","program"
"8/8/2021, 11:59:16","Occasionally","Never used","Level 1","3","3","3","Pop","40000","Sec A","male","16/11/2001","Sci-Math"
"8/8/2021, 12:35:32","Occasionally","Never used","Level 1","3","4","4","Pop, Rock","20000","Sec B","male","","Sci-Math"
"8/8/2021, 20:22:50","Occasionally","Never used","Level 0","5","3","1","Musical, Classic, Jazz","20000","Sec B","male","11/3/2002","Sci-Math"
"9/8/2021, 9:06:42","Occasionally","Never used","Level 1","4","3","4","R&B, Rap","20000","Sec A","male","9/6/2002","Arts-Math"
"9/8/2021, 13:28:15","Occasionally","Never used","Level 1","3","4","3","Pop, R&B, Rap, Classic","30000","Sec A","male","18/12/2544","Arts-Math"
"9/8/2021, 13:28:25","Occasionally","Never used","Level 2","3","3","3","Classic","100000","Sec A","male","7/8/2001","Arts-Math"
"12/8/2021, 23:54:23","Never used","Never used","Level 0","2","2","2","Pop","22000","Sec B","male","19/3/2002","Sci-Math"
"13/8/2021, 11:20:08","Never used","Never used","Level 1","4","4","3","Rock, แนวเก่าๆ","19000","Sec B","male","21/8/2001","Sci-Math"
"5/8/2021, 0:04:04","Occasionally","Never used","Level 1","5","3","3","R&B, Musical, Classic, Jazz","30000","Sec B","male","19/11/2001","Sci-Math"
"5/8/2021, 8:48:37","Occasionally","Never used","Level 2","4","3","4","Pop, Classic","35000","Sec B","male","20/12/2001","Sci-Math"
"5/8/2021, 12:28:56","Occasionally","Never used","Level 1","4","3","3","Pop","25000","Sec B","male","15/11/2021","Sci-Math"
"6/8/2021, 0:28:14","Occasionally","Never used","Level 1","4","3","4","R&B","20000","Sec B","male","5/11/2545","Sci-Math"
"6/8/2021, 21:05:00","Occasionally","Never used","Level 1","5","5","3","Pop, ลูกทุ่ง, Classic, Jazz","40000","Sec A","male","5/6/2001","Sci-Math"
"7/8/2021, 5:29:36","Occasionally","Never used","Level 1","4","4","4","Pop, Rock, Musical, Classic","25000","Sec B","male","14/2/2002","Sci-Math"
"14/8/2021, 11:38:21","Occasionally","Never used","Level 1","4","3","4","Rock","40000","Sec B","null","","Sci-Math"
"8/8/2021, 20:56:18","Occasionally","Never used","Level 1","4","5","5","Pop, R&B, ลูกทุ่ง, Rap","200000","Sec A","male","24/9/2001","Sci-Math"
"8/8/2021, 20:58:09","Occasionally","Never used","Level 0","4","5","5","Pop, Rock, Rap","50000","Sec B","male","12/9/2001","Sci-Math"
"8/8/2021, 23:46:26","Occasionally","Never used","Level 1","3","5","4","Pop, Rock, R&B, Rap","30000","Sec A","male","25/5/2001","Sci-Math"
"9/8/2021, 4:30:45","Occasionally","Never used","Level 2","3","4","5","Pop, Rock, Classic, Jazz","20000","Sec A","male","22/10/2001","Sci-Math"
"9/8/2021, 10:54:31","Occasionally","Never used","Level 1","3","4","3","Pop, Musical","30000","Sec B","male","23/5/2002","Sci-Math"
"9/8/2021, 11:11:01","Occasionally","Never used","Level 0","5","2","4","Pop","20000","Sec A","male","15/6/2002","Sci-Math"
"9/8/2021, 13:27:14","Occasionally","Never used","Level 1","3","4","3","Rock","30000","Sec B","male","28/2/2002","Sci-Math"
"9/8/2021, 10:39:57","Occasionally","Never used","Level 0","4","3","3","Pop","50000","Sec B","male","28/11/2001","Sahasilp"
"13/8/2021, 11:31:46","Occasionally","Never used","Level 0","4","5","3","Pop, Rock, R&B, Rap","50000","Sec B","male","5/6/2001","Arts-Math"
"12/8/2021, 20:47:54","Occasionally","Never used","Level 1","4","4","4","Rock, R&B","30000","Sec B","male","26/1/2002","Sci-Math"
"13/8/2021, 1:48:18","Occasionally","Never used","Level 0","3","3","5","Pop, R&B, Classic, Jazz","10000000","Sec B","male","11/1/2000","Sci-Math"
"13/8/2021, 1:54:40","Occasionally","Never used","Level 0","5","3","5","Pop, Rock, R&B, Rap","50000","Sec B","male","4/12/2001","Sci-Math"
"13/8/2021, 4:21:51","Occasionally","Never used","Level 1","4","3","3","Pop, Musical, Classic","30000","Sec B","male","9/5/2002","Sci-Math"
"13/8/2021, 11:19:34","Occasionally","Never used","Level 1","3","4","4","Pop, Rap, folk","100000","Sec B","male","3/12/2001","Sci-Math"
"13/8/2021, 11:20:13","Occasionally","Never used","Level 1","3","4","4","ระบุแนวไม่ได้คับแล้วแต่moodช่วงนั้น ๆ เพราะเปลี่ยนแนวไปเรื่อยๆตลอด","25000","Sec B","male","5/11/2002","Sci-Math"
"13/8/2021, 11:20:18","Occasionally","Never used","Level 1","3","4","3","Pop, Rock","30000","Sec B","male","20/6/2001","Sci-Math"
"13/8/2021, 11:20:20","Occasionally","Never used","Level 1","4","5","4","Pop","20000","Sec B","male","29/7/2002","Sci-Math"
"13/8/2021, 11:23:27","Occasionally","Never used","Level 1","3","3","4","Pop, R&B","25000","Sec B","male","13/5/2002","Sci-Math"
"13/8/2021, 11:24:34","Occasionally","Never used","Level 2","3","3","4","Pop, R&B, Rap, Jazz","35000","Sec B","male","30/10/2001","Sci-Math"
"13/8/2021, 11:28:53","Occasionally","Never used","Level 1","3","3","4","","18000","Sec B","male","23/6/2001","Sci-Math"
"13/8/2021, 13:08:19","Occasionally","Never used","Level 1","3","3","3","Pop, R&B, Rap, Classic","60000","Sec B","male","19/9/2002","Sci-Math"
"16/8/2021, 0:49:21","Occasionally","Never used","Level 0","5","2","3","Pop, Classic","40000","Sec A","male","16/7/2001","Sci-Math"
